#fields:
atomic_number_PK INT ,
category text,
category_id INT ,

#data:
atomic_number_PK	,	category	,	category_id_FK
(	1	, 'Nonmetal' ,	107	),
(	2	, 'Noble Gas' ,	106	),
(	3	, 'Alkali Metal' ,	100	),
(	4	, 'Alkaline Earth Metal' ,	101	),
(	5	, 'Metalloid' ,	109	),
(	6	, 'Nonmetal' ,	107	),
(	7	, 'Nonmetal' ,	107	),
(	8	, 'Nonmetal' ,	107	),
(	9	, 'Halogen' ,	108	),
(	10	, 'Noble Gas' ,	106	),
(	11	, 'Alkali Metal' ,	100	),
(	12	, 'Alkaline Earth Metal' ,	101	),
(	13	, 'Post-Transition Metal' ,	105	),
(	14	, 'Metalloid' ,	109	),
(	15	, 'Nonmetal' ,	107	),
(	16	, 'Nonmetal' ,	107	),
(	17	, 'Halogen' ,	108	),
(	18	, 'Noble Gas' ,	106	),
(	19	, 'Alkali Metal' ,	100	),
(	20	, 'Alkaline Earth Metal' ,	101	),
(	21	, 'Transition Metal' ,	104	),
(	22	, 'Transition Metal' ,	104	),
(	23	, 'Transition Metal' ,	104	),
(	24	, 'Transition Metal' ,	104	),
(	25	, 'Transition Metal' ,	104	),
(	26	, 'Transition Metal' ,	104	),
(	27	, 'Transition Metal' ,	104	),
(	28	, 'Transition Metal' ,	104	),
(	29	, 'Transition Metal' ,	104	),
(	30	, 'Transition Metal' ,	104	),
(	31	, 'Post-Transition Metal' ,	105	),
(	32	, 'Metalloid' ,	109	),
(	33	, 'Metalloid' ,	109	),
(	34	, 'Nonmetal' ,	107	),
(	35	, 'Halogen' ,	108	),
(	36	, 'Noble Gas' ,	106	),
(	37	, 'Alkali Metal' ,	100	),
(	38	, 'Alkaline Earth Metal' ,	101	),
(	39	, 'Transition Metal' ,	104	),
(	40	, 'Transition Metal' ,	104	),
(	41	, 'Transition Metal' ,	104	),
(	42	, 'Transition Metal' ,	104	),
(	43	, 'Transition Metal' ,	104	),
(	44	, 'Transition Metal' ,	104	),
(	45	, 'Transition Metal' ,	104	),
(	46	, 'Transition Metal' ,	104	),
(	47	, 'Transition Metal' ,	104	),
(	48	, 'Transition Metal' ,	104	),
(	49	, 'Post-Transition Metal' ,	105	),
(	50	, 'Post-Transition Metal' ,	105	),
(	51	, 'Metalloid' ,	109	),
(	52	, 'Metalloid' ,	109	),
(	53	, 'Halogen' ,	108	),
(	54	, 'Noble Gas' ,	106	),
(	55	, 'Alkali Metal' ,	100	),
(	56	, 'Alkaline Earth Metal' ,	101	),
(	57	, 'Lanthanide' ,	102	),
(	58	, 'Lanthanide' ,	102	),
(	59	, 'Lanthanide' ,	102	),
(	60	, 'Lanthanide' ,	102	),
(	61	, 'Lanthanide' ,	102	),
(	62	, 'Lanthanide' ,	102	),
(	63	, 'Lanthanide' ,	102	),
(	64	, 'Lanthanide' ,	102	),
(	65	, 'Lanthanide' ,	102	),
(	66	, 'Lanthanide' ,	102	),
(	67	, 'Lanthanide' ,	102	),
(	68	, 'Lanthanide' ,	102	),
(	69	, 'Lanthanide' ,	102	),
(	70	, 'Lanthanide' ,	102	),
(	71	, 'Lanthanide' ,	102	),
(	72	, 'Transition Metal' ,	104	),
(	73	, 'Transition Metal' ,	104	),
(	74	, 'Transition Metal' ,	104	),
(	75	, 'Transition Metal' ,	104	),
(	76	, 'Transition Metal' ,	104	),
(	77	, 'Transition Metal' ,	104	),
(	78	, 'Transition Metal' ,	104	),
(	79	, 'Transition Metal' ,	104	),
(	80	, 'Transition Metal' ,	104	),
(	81	, 'Post-Transition Metal' ,	105	),
(	82	, 'Post-Transition Metal' ,	105	),
(	83	, 'Post-Transition Metal' ,	105	),
(	84	, 'Metalloid' ,	109	),
(	85	, 'Halogen' ,	108	),
(	86	, 'Noble Gas' ,	106	),
(	87	, 'Alkali Metal' ,	100	),
(	88	, 'Alkaline Earth Metal' ,	101	),
(	89	, 'Actinide' ,	103	),
(	90	, 'Actinide' ,	103	),
(	91	, 'Actinide' ,	103	),
(	92	, 'Actinide' ,	103	),
(	93	, 'Actinide' ,	103	),
(	94	, 'Actinide' ,	103	),
(	95	, 'Actinide' ,	103	),
(	96	, 'Actinide' ,	103	),
(	97	, 'Actinide' ,	103	),
(	98	, 'Actinide' ,	103	),
(	99	, 'Actinide' ,	103	),
(	100	, 'Actinide' ,	103	),
(	101	, 'Actinide' ,	103	),
(	102	, 'Actinide' ,	103	),
(	103	, 'Actinide' ,	103	),
(	104	, 'Transition Metal' ,	104	),
(	105	, 'Transition Metal' ,	104	),
(	106	, 'Transition Metal' ,	104	),
(	107	, 'Transition Metal' ,	104	),
(	108	, 'Transition Metal' ,	104	),
(	109	, 'Transition Metal' ,	104	),
(	110	, 'Transition Metal' ,	104	),
(	111	, 'Transition Metal' ,	104	),
(	112	, 'Transition Metal' ,	104	),
(	113	, 'Post-Transition Metal' ,	105	),
(	114	, 'Post-Transition Metal' ,	105	),
(	115	, 'Post-Transition Metal' ,	105	),
(	116	, 'Post-Transition Metal' ,	105	),
(	117	, 'Halogen' ,	108	),
(	118	, 'Noble Gas' ,	106	);
